Source,Target,Type
19062,29142,Directed
19102,8300,Directed
19105,8444,Directed
19136,33054,Directed
19136,34646,Directed
19156,19850,Directed
19850,19156,Directed
19184,1768,Directed
19184,154,Directed
19234,19282,Directed
19235,41869,Directed
19259,29188,Directed
19275,8300,Directed
19275,42806,Directed
19279,8300,Directed
19305,17280,Directed
19305,9379,Directed
19305,26765,Directed
19307,29361,Directed
19307,28672,Directed
19317,33653,Directed
19344,25951,Directed
19344,33399,Directed
19344,24567,Directed
19345,33359,Directed
19347,21924,Directed
19356,33582,Directed
19357,16591,Directed
19357,28526,Directed
19365,30428,Directed
19377,46952,Directed
46952,6320,Directed
19380,11790,Directed
19392,23758,Directed
19414,38477,Directed
19425,29372,Directed
19452,32697,Directed
19455,20723,Directed
19455,26317,Directed
19455,20353,Directed
19455,28786,Directed
20723,26948,Directed
19462,40113,Directed
19462,34383,Directed
40113,34383,Directed
19464,49998,Directed
19494,35764,Directed
19506,10706,Directed
19522,3195,Directed
19536,8300,Directed
19542,22740,Directed
19550,29215,Directed
19550,27786,Directed
19554,33950,Directed
19559,744,Directed
19567,16757,Directed
19579,40171,Directed
19593,8011,Directed
19593,37857,Directed
19630,9015,Directed
19637,19573,Directed
19637,19729,Directed
19646,45420,Directed
19649,10297,Directed
19654,14531,Directed
19658,20723,Directed
19658,26317,Directed
19658,31067,Directed
19658,25715,Directed
19658,22796,Directed
19660,30832,Directed
19666,39400,Directed
19710,31590,Directed
19731,2721,Directed
19736,33131,Directed
19751,21012,Directed
19785,22227,Directed
19795,35934,Directed
19823,16757,Directed
19835,18181,Directed
19835,18929,Directed
19835,19110,Directed
19835,19566,Directed
20232,33799,Directed
20232,32452,Directed
20232,20756,Directed
20232,24849,Directed
33799,20756,Directed
20299,35389,Directed
20351,31786,Directed
20392,30547,Directed
20392,33824,Directed
20392,33879,Directed
20394,24969,Directed
20394,21335,Directed
20394,28697,Directed
24969,27885,Directed
28697,24775,Directed
20419,22624,Directed
20432,25371,Directed
20432,30370,Directed
20432,22144,Directed
22144,21428,Directed
20453,5244,Directed
20460,34919,Directed
34919,35,Directed
20512,26620,Directed
20538,33533,Directed
20538,32494,Directed
20587,27122,Directed
27122,32495,Directed
27122,34356,Directed
20646,22677,Directed
20657,26534,Directed
26534,28264,Directed
20696,34710,Directed
34710,17650,Directed
20701,23497,Directed
20701,33113,Directed
20701,33300,Directed
23497,33300,Directed
33113,33300,Directed
20725,25692,Directed
25692,26442,Directed
20766,30751,Directed
20766,28615,Directed
20766,34615,Directed
30751,23890,Directed
34615,28615,Directed
20822,34251,Directed
20867,26852,Directed
20867,25692,Directed
20888,35830,Directed
20931,21532,Directed
21532,17650,Directed
20934,14043,Directed
20941,21072,Directed
20941,30355,Directed
21072,23678,Directed
30355,31267,Directed
20942,26220,Directed
20942,27122,Directed
20974,31219,Directed
21031,32777,Directed
21049,32762,Directed
21051,25692,Directed
21084,15485,Directed
21084,7201,Directed
21084,4616,Directed
21168,5211,Directed
21168,21345,Directed
21196,2772,Directed
21213,23108,Directed
21213,35109,Directed
21213,30370,Directed
21213,30411,Directed
35109,30370,Directed
21268,32452,Directed
21268,30249,Directed
21268,29755,Directed
29755,26817,Directed
21279,25824,Directed
21285,33310,Directed
21286,15090,Directed
21303,33300,Directed
21303,22173,Directed
21319,30547,Directed
21387,31858,Directed
21387,23170,Directed
21387,22186,Directed
21387,26709,Directed
21387,31429,Directed
31858,22650,Directed
31858,24454,Directed
31858,26709,Directed
31858,29260,Directed
31858,35094,Directed
23170,26709,Directed
31429,22186,Directed
31429,26709,Directed
21402,33824,Directed
21412,21119,Directed
21442,23387,Directed
21444,27378,Directed
27378,21444,Directed
21500,11800,Directed
21500,29021,Directed
21523,28108,Directed
21523,23662,Directed
21538,25716,Directed
21539,30783,Directed
21628,21428,Directed
21652,24945,Directed
21652,31011,Directed
31011,27122,Directed
31011,34232,Directed
21657,26720,Directed
21657,22897,Directed
26720,30249,Directed
26720,26817,Directed
22897,26720,Directed
22897,30249,Directed
22897,32258,Directed
21660,25371,Directed
21660,22587,Directed
21660,31433,Directed
21660,34727,Directed
22587,27953,Directed
22587,25058,Directed
31433,30370,Directed
21673,24775,Directed
21673,31918,Directed
31918,35950,Directed
31918,32560,Directed
21693,24778,Directed
21704,31147,Directed
21709,30566,Directed
21717,28108,Directed
21753,17650,Directed
21753,23221,Directed
21756,20989,Directed
21756,21657,Directed
21756,27518,Directed
27518,20989,Directed
27518,23642,Directed
27518,31485,Directed
21768,29715,Directed
29715,21768,Directed
29715,31901,Directed
21821,2121,Directed
21827,30130,Directed
21827,24945,Directed
21827,33078,Directed
21827,31471,Directed
21827,33879,Directed
33078,25276,Directed
33078,25624,Directed
21838,7449,Directed
21843,35720,Directed
35720,29708,Directed
21873,27685,Directed
21878,23514,Directed
21878,27953,Directed
21878,30818,Directed
27953,20442,Directed
27953,25871,Directed
27953,25961,Directed
27953,30791,Directed
21889,26425,Directed
21914,34961,Directed
21918,24614,Directed
21929,24285,Directed
21929,26817,Directed
21953,27457,Directed
21984,34438,Directed
34438,21984,Directed
22014,28620,Directed
22014,30972,Directed
22028,24030,Directed
24030,22028,Directed
22108,34097,Directed
22113,20974,Directed
22113,31219,Directed
22140,25950,Directed
22140,22872,Directed
22165,3071,Directed
22170,21579,Directed
22170,29707,Directed
22170,27026,Directed
29707,23715,Directed
29707,32560,Directed
22191,35230,Directed
22198,25371,Directed
22198,30818,Directed
22198,30791,Directed
22209,32296,Directed
22209,29708,Directed
22219,21709,Directed
22219,34874,Directed
22219,32296,Directed
22219,30438,Directed
34874,25887,Directed
22226,26167,Directed
22237,34737,Directed
22285,20942,Directed
22285,21428,Directed
22285,35276,Directed
22285,36113,Directed
22285,25501,Directed
22285,23589,Directed
22285,26220,Directed
22285,34917,Directed
22285,31359,Directed
22285,27122,Directed
22285,34232,Directed
35276,26220,Directed
35276,27122,Directed
35276,31011,Directed
35276,34232,Directed
36113,22463,Directed
36113,33449,Directed
25501,32417,Directed
25501,27122,Directed
25501,29346,Directed
23589,21428,Directed
23589,26220,Directed
34917,20942,Directed
34917,21428,Directed
34917,26220,Directed
31359,30547,Directed
31359,32495,Directed
22302,1768,Directed
22357,32452,Directed
22357,23670,Directed
22357,26817,Directed
22357,24130,Directed
22357,34232,Directed
23670,26817,Directed
24130,28084,Directed
22377,13303,Directed
22384,21058,Directed
22384,35109,Directed
22384,31835,Directed
22417,16936,Directed
22426,34060,Directed
22426,26476,Directed
34060,30558,Directed
26476,26536,Directed
26476,30249,Directed
22434,27620,Directed
22448,20813,Directed
22448,27194,Directed
22448,35825,Directed
22455,28615,Directed
22463,35184,Directed
22463,34801,Directed
35184,28576,Directed
34801,28576,Directed
34801,34356,Directed
22507,27122,Directed
22599,35657,Directed
22608,30231,Directed
22608,30638,Directed
22620,33300,Directed
22650,36075,Directed
22650,31719,Directed
22653,31828,Directed
22706,23695,Directed
22766,30130,Directed
22798,28108,Directed
22798,34153,Directed
22798,34397,Directed
22798,23662,Directed
22798,23882,Directed
22798,27859,Directed
34153,35959,Directed
34397,24775,Directed
34397,28981,Directed
34397,30961,Directed
34397,34198,Directed
34397,34684,Directed
27859,34397,Directed
27859,34684,Directed
27859,30961,Directed
22799,26867,Directed
22813,25780,Directed
22826,21124,Directed
22826,29093,Directed
22831,22608,Directed
22831,27882,Directed
22831,31011,Directed
27882,26316,Directed
27882,26720,Directed
22881,25426,Directed
22892,24849,Directed
22899,29496,Directed
22902,31854,Directed
22999,35942,Directed
22999,32635,Directed
23016,28226,Directed
28226,23016,Directed
23032,30590,Directed
23032,30566,Directed
30590,31011,Directed
23060,23497,Directed
23084,21058,Directed
23084,28953,Directed
28953,21058,Directed
28953,29038,Directed
23092,22026,Directed
23092,23548,Directed
23548,33300,Directed
23094,17650,Directed
23151,22888,Directed
23154,21681,Directed
23183,15007,Directed
23194,21319,Directed
23194,30547,Directed
23194,26838,Directed
23194,31359,Directed
23194,31156,Directed
26838,20942,Directed
26838,23720,Directed
26838,28981,Directed
26838,30547,Directed
23214,21652,Directed
23214,24945,Directed
23214,31011,Directed
23259,35521,Directed
23292,32495,Directed
23300,28938,Directed
23357,32203,Directed
23364,25371,Directed
23385,28897,Directed
23401,20581,Directed
23401,32833,Directed
32833,20694,Directed
32833,27677,Directed
32833,29607,Directed
23411,25692,Directed
23411,27244,Directed
23416,21569,Directed
23416,23882,Directed
23425,21157,Directed
23488,25054,Directed
23488,35949,Directed
23488,23528,Directed
23529,9047,Directed
23560,31471,Directed
23566,32494,Directed
23590,32201,Directed
23595,9457,Directed
23604,24775,Directed
23604,27369,Directed
23604,33136,Directed
23604,25887,Directed
23604,32134,Directed
33136,32495,Directed
25887,23882,Directed
25887,25467,Directed
25887,27122,Directed
32134,22999,Directed
32134,33136,Directed
32134,35527,Directed
23647,17253,Directed
29242,23699,Directed
29242,30271,Directed
23704,12199,Directed
23720,32560,Directed
23721,31156,Directed
23724,26715,Directed
23725,31998,Directed
23753,35109,Directed
23759,26471,Directed
23774,23589,Directed
23774,35276,Directed
23774,34232,Directed
23818,29346,Directed
23839,31267,Directed
23839,31219,Directed
31267,22026,Directed
23850,30249,Directed
23850,31011,Directed
23850,26476,Directed
23850,25467,Directed
25467,26817,Directed
25467,27175,Directed
23883,29715,Directed
23927,21709,Directed
23927,32296,Directed
23927,25429,Directed
23987,33879,Directed
24102,24174,Directed
24119,27098,Directed
24119,26167,Directed
24141,26167,Directed
24157,17804,Directed
24161,33533,Directed
24172,27053,Directed
24172,24614,Directed
27053,27423,Directed
24183,25703,Directed
24183,8300,Directed
24197,21119,Directed
24197,21428,Directed
24197,22144,Directed
24197,24024,Directed
24197,25371,Directed
24197,32327,Directed
32327,21119,Directed
32327,28931,Directed
32327,31719,Directed
24204,24934,Directed
24213,20942,Directed
24213,23720,Directed
24213,28981,Directed
24213,30547,Directed
24213,26838,Directed
24227,34198,Directed
24232,20942,Directed
24269,28307,Directed
24271,21303,Directed
24345,21058,Directed
24345,29038,Directed
29038,21058,Directed
24407,34198,Directed
24407,28697,Directed
24428,32296,Directed
24428,29708,Directed
24428,27019,Directed
24429,34992,Directed
24447,22830,Directed
24447,24397,Directed
24454,21716,Directed
24454,26709,Directed
24487,27801,Directed
24509,23626,Directed
24528,4268,Directed
24558,35942,Directed
24563,23662,Directed
24568,26348,Directed
24646,29999,Directed
29999,24646,Directed
24652,28408,Directed
28408,22026,Directed
24690,10712,Directed
24698,32296,Directed
24721,20446,Directed
24721,23924,Directed
24738,21402,Directed
24738,26817,Directed
24738,31156,Directed
24770,31156,Directed
24790,28307,Directed
24799,21657,Directed
24799,22897,Directed
24799,26720,Directed
24799,26817,Directed
24800,21058,Directed
24800,30370,Directed
24840,16269,Directed
24843,24141,Directed
24843,31917,Directed
24868,35255,Directed
24912,27518,Directed
24923,9320,Directed
24924,20759,Directed
24924,24775,Directed
24924,34232,Directed
24946,20756,Directed
24952,24924,Directed
24952,25453,Directed
24952,33136,Directed
24952,25887,Directed
24952,31156,Directed
24952,34232,Directed
24952,32258,Directed
27885,32569,Directed
24976,31211,Directed
31211,24976,Directed
25008,35527,Directed
25032,32296,Directed
25042,34684,Directed
25042,34397,Directed
25042,31011,Directed
25042,28576,Directed
34684,28981,Directed
34684,31018,Directed
34684,34198,Directed
34684,34397,Directed
34684,35230,Directed
28576,27423,Directed
25139,31992,Directed
31992,25139,Directed
25170,9591,Directed
25208,23254,Directed
25246,26986,Directed
26986,25426,Directed
25250,34640,Directed
25256,32319,Directed
25256,30231,Directed
25256,32560,Directed
25276,25983,Directed
25287,17650,Directed
25319,20221,Directed
25341,34927,Directed
25352,29964,Directed
25378,8300,Directed
25418,30352,Directed
25418,27885,Directed
25450,21589,Directed
25458,28307,Directed
25490,20395,Directed
25490,31258,Directed
25525,35389,Directed
25525,28224,Directed
25525,30961,Directed
25561,33608,Directed
25622,32768,Directed
25624,26167,Directed
25633,23606,Directed
25633,35668,Directed
26442,25692,Directed
25737,29410,Directed
25744,25780,Directed
25744,28123,Directed
25752,24945,Directed
25752,33078,Directed
25834,26220,Directed
25843,25467,Directed
25843,28084,Directed
25888,30370,Directed
25888,25961,Directed
25957,22174,Directed
25986,35066,Directed
26051,20491,Directed
26093,29021,Directed
26108,22926,Directed
26108,28452,Directed
26108,28260,Directed
26151,31298,Directed
31298,25624,Directed
31298,33300,Directed
26203,28108,Directed
26204,20942,Directed
26204,23720,Directed
26204,28981,Directed
26204,30547,Directed
26216,24849,Directed
26216,32494,Directed
26216,35265,Directed
26239,35109,Directed
26239,30370,Directed
26264,23725,Directed
26264,31998,Directed
26264,35170,Directed
26264,31148,Directed
31148,28676,Directed
31148,35170,Directed
26265,24800,Directed
26265,31329,Directed
26265,32833,Directed
26302,23725,Directed
26302,31998,Directed
26302,30818,Directed
26302,35170,Directed
26316,22608,Directed
26328,42042,Directed
26331,25453,Directed
26357,22022,Directed
26357,25276,Directed
26357,25983,Directed
26357,27885,Directed
26370,5775,Directed
26372,21709,Directed
26372,25429,Directed
26372,32296,Directed
26497,28108,Directed
26527,27719,Directed
26550,32495,Directed
26550,34356,Directed
26550,27122,Directed
26563,28676,Directed
26565,29598,Directed
26657,33776,Directed
26665,35942,Directed
26665,31011,Directed
26750,20989,Directed
26750,30249,Directed
26750,27518,Directed
26750,27305,Directed
26763,30249,Directed
26785,29464,Directed
26857,23720,Directed
26857,26838,Directed
26866,31538,Directed
26869,22578,Directed
26869,33310,Directed
26890,12493,Directed
26907,6462,Directed
26933,23566,Directed
26933,25418,Directed
26933,36092,Directed
26933,35720,Directed
26969,4584,Directed
27005,31835,Directed
27005,30370,Directed
27005,30791,Directed
27025,27991,Directed
27092,33764,Directed
33764,27092,Directed
27136,27122,Directed
27136,27175,Directed
27136,34232,Directed
27167,24065,Directed
27191,30028,Directed
27191,27686,Directed
27192,25119,Directed
27266,30787,Directed
27289,23108,Directed
27289,26220,Directed
27300,24035,Directed
27326,420,Directed
27349,21058,Directed
27349,34683,Directed
27349,29607,Directed
34683,21058,Directed
34683,28960,Directed
34683,29038,Directed
34683,29607,Directed
29607,27740,Directed
27355,27713,Directed
27360,21709,Directed
27360,25429,Directed
27360,29457,Directed
27376,28916,Directed
28916,25887,Directed
28916,32495,Directed
27407,3493,Directed
27461,21652,Directed
27461,34874,Directed
27461,32296,Directed
27528,25300,Directed
27554,20432,Directed
27554,21428,Directed
27554,22144,Directed
27554,23589,Directed
27554,24024,Directed
27554,25371,Directed
27555,28108,Directed
27572,23149,Directed
27572,30139,Directed
30139,17650,Directed
27623,29568,Directed
